Timestamp,Source,Title,Sentiment,Score
2026-02-27 14:40:42,r/Bitcoin,"Citi Is Making Bitcoin ""Bankable"" — Here's What That Means for the Market",NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,Case Study: Safeguarding History and Aid in Ukraine,BULLISH,0.7852
2026-02-27 14:40:42,r/Bitcoin,"Descriptor annotations, ASMap, Q&amp;A - Bitcoin Optech Newsletter #394",BULLISH,0.8159
2026-02-27 14:40:42,r/Bitcoin,Bought $1k  of BTC. Let's see what will happen,BEARISH,-0.2244
2026-02-27 14:40:42,r/Bitcoin,With what exchange/trading platform do you have a good experience if you're in Europe in the recent years ?,BULLISH,0.346
2026-02-27 14:40:42,r/Bitcoin,total supply cap,BEARISH,-0.296
2026-02-27 14:40:42,r/Bitcoin,Can I buy Bitcoin for 1000 rupees? (Hindi Language Article),BULLISH,0.05
2026-02-27 14:40:42,r/Bitcoin,leverage ratio is 0.213,BULLISH,1.0
2026-02-27 14:40:42,r/Bitcoin,"Daily Discussion, February 27, 2026",BULLISH,0.9272
2026-02-27 14:40:42,r/Bitcoin,"Justin Sun at LONGITUDE HK recalls buying $BTC at $0.20 when no one took it seriously. Now he says crypto is being built as payment rails for AGI. ""Even the Terminator would need blockchain to transact.""",BEARISH,-0.3904
2026-02-27 14:40:42,r/Bitcoin,Layerz Wallet - All Bitcoin layers one simple wallet,NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,Just bigger wallets,NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,Literature,BULLISH,1.0
2026-02-27 14:40:42,r/Bitcoin,"Accidental fortune - young entrepreneur becomes overnight millionaire from early 2000s investment. Question: How many other self-made billionaires are out there that ""don't even know""?",BULLISH,0.8196
2026-02-27 14:40:42,r/Bitcoin,stack sats and save on the blockchain,BULLISH,0.8172
2026-02-27 14:40:42,r/Bitcoin,Soy virgen del bitcoin,NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,"I made a simple DCA calculator, hope it's useful for someone",BULLISH,0.9095
2026-02-27 14:40:42,r/Bitcoin,5 Websites You Should Definitely Check Out,BULLISH,0.4019
2026-02-27 14:40:42,r/Bitcoin,Own 5 BTC? Here's how you get 1+ BTC this cycle for free (there's risk),BULLISH,0.8311
2026-02-27 14:40:42,r/Bitcoin,"If Your 1099-DA still hasn't shown up, here's a few things to consider.",BULLISH,0.8783
2026-02-27 14:40:42,r/Bitcoin,Bitcoin.com app MoonPay Purchases Declined,NEUTRAL,-0.028
2026-02-27 14:40:42,r/Bitcoin,Decided to buy $BTC instead of a Rolex.,BULLISH,0.05
2026-02-27 14:40:42,r/Bitcoin,How can I btc anonymously without KYC or anything?,BULLISH,0.4404
2026-02-27 14:40:42,r/Bitcoin,"I backtested ""taking a loan to buy Bitcoin"" vs DCA across every month since 2016. Here's what 10 years of data shows.",BULLISH,0.6782
2026-02-27 14:40:42,r/Bitcoin,Commercializing Bitcoin and delivering it to the institutional world and mainstream,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,Axiom Exchange Insider Trading Scandal Exposed,BEARISH,-0.4939
